x_loc,y_loc,z_loc
426.55875,520.9359,-4012.252
465.57715,566.39075,-3563.6067
547.4299,646.8469,-2081.3796
47.330715,594.1435,-3238.9397
342.3406,554.1058,-3692.5
304.92072,569.4563,-3530.262
437.7592,621.1692,-2840.3635
380.16415,598.36163,-3183.7412
368.73203,445.93057,-4647.1294
551.5226,591.8842,-3267.5022
320.36392,556.561,-3667.2961
472.0316,475.08945,-4410.5015
152.34242,552.1656,-3712.2468
423.05875,647.1023,-2014.9883
281.39255,456.08292,-4565.893
517.132,647.10254,-1998.3715
104.11798,519.85913,-4022.116
106.5617,523.3949,-3989.6074
600.16534,645.6202,-2191.8118
477.37186,645.2116,-2216.432
357.7949,646.36017,-2137.4036
599.96533,640.8378,-2397.1394
321.29562,597.4618,-3195.6602
387.71542,514.11847,-4074.0657
460.9507,485.93906,-4319.5776
527.0699,564.59515,-3582.8652
410.27652,489.00586,-4293.558
399.0713,507.53943,-4132.764
449.97974,493.17447,-4257.9185
148.3741,557.6639,-3655.8718
361.32727,631.1048,-2649.068
497.37918,586.0716,-3339.2932
562.0862,506.2009,-4144.6216
421.1807,608.0202,-3049.236
118.541565,431.98523,-4756.972
262.82993,466.49985,-4481.2954
599.2136,643.5833,-2295.5383
517.17755,457.4933,-4554.4927
538.6824,647.08575,-2021.8756
136.27711,525.2045,-3972.92
294.1051,583.30707,-3372.5059
228.00227,505.33096,-4152.276
224.48997,572.9703,-3491.3762
551.68524,643.0109,-2319.0603
530.2205,646.0966,-2158.468
338.74332,455.4152,-4571.291
143.48254,494.24686,-4248.7163
205.53625,527.4324,-3952.2244
404.58374,565.669,-3571.4094
454.57925,471.92886,-4436.667
602.72705,597.7926,-3191.3047
296.45773,524.5073,-3979.4163
463.85913,637.30426,-2501.2776
237.60637,602.4783,-3127.9375
445.7546,547.15576,-3762.578
74.05421,590.5115,-3284.875
318.8345,536.7241,-3864.4114
552.17816,548.66455,-3747.5305
439.15295,518.03986,-4038.6426
172.08934,592.78925,-3256.0664
19.172108,555.46515,-3678.5857
218.33728,521.2022,-4009.7834
502.3577,646.3553,-2137.0652
457.96057,636.42065,-2524.3528
492.9131,552.8837,-3704.9714
237.56758,472.94775,-4428.2554
384.74545,625.3162,-2765.2327
431.48816,507.69107,-4131.4204
426.90967,582.83417,-3377.9978
49.48206,507.5701,-4132.5146
409.32278,462.88144,-4510.848
306.69446,454.16934,-4581.3022
380.27884,612.1152,-2988.0547
312.9032,545.2325,-3781.6223
141.63062,438.26782,-4707.731
165.53761,579.1392,-3421.2793
93.581665,429.67453,-4774.9966
319.94165,496.1005,-4232.77
525.72186,615.5534,-2934.1084
361.16928,628.95197,-2694.1016
244.98755,594.6202,-3232.6648
373.80118,645.4774,-2200.9326
77.89514,474.0363,-4419.2485
76.39089,588.1092,-3314.5427
326.66458,465.23428,-4491.6304
233.90509,485.66415,-4321.9233
371.69824,520.5239,-4015.9963
72.919464,562.92914,-3600.6282
138.27351,580.40314,-3406.5352
424.427,472.31412,-4433.485
420.69836,492.69382,-4262.0415
246.11674,532.3444,-3906.1443
113.22787,589.3255,-3299.5664
427.55432,485.59488,-4322.49
548.37317,606.13837,-3076.5352
384.283,452.35483,-4595.862
501.39127,599.3393,-3170.6023
449.114,441.83743,-4679.561
501.61777,508.47256,-4124.511
494.3601,607.88495,-3051.288
404.94934,525.65533,-3968.7588
504.34915,562.42926,-3605.947
43.033253,587.9366,-3316.68
497.71762,461.48416,-4522.184
602.2028,527.84155,-3948.4348
520.81836,552.63574,-3707.4824
182.39653,600.6524,-3152.907
184.33241,588.3294,-3311.7754
302.43027,576.15717,-3455.4363
521.1857,581.4389,-3394.4944
93.67001,537.1652,-3860.1455
446.34277,584.8024,-3354.5515
554.5887,632.97906,-2607.3152
325.9407,589.3333,-3299.43
279.0856,553.2046,-3701.7002
261.7815,584.9712,-3352.6248
422.74252,443.5293,-4666.1777
202.01286,497.59653,-4219.781
348.1958,484.91293,-4328.2593
484.24155,638.6628,-2463.6438
121.9593,509.91443,-4111.7075
249.7217,612.82587,-2977.0828
378.54846,586.4174,-3335.0566
289.35657,547.60443,-3758.07
396.42007,645.2327,-2215.1497
605.41705,600.9397,-3149.1113
430.59317,532.70404,-3902.697
438.76584,626.3557,-2745.51
548.8055,627.60376,-2721.0447
543.6631,539.52075,-3837.4636
505.49118,453.80948,-4584.1753
384.92276,537.86566,-3853.4395
362.24332,572.72406,-3494.1143
337.88916,609.70166,-3024.4446
577.27203,453.50717,-4586.605
203.4184,544.1424,-3792.368
583.437,635.86945,-2538.0315
485.7747,568.1155,-3544.8513
420.24658,634.92535,-2561.642
289.76132,603.11896,-3119.05
584.8194,572.7618,-3493.6667
148.08931,563.3384,-3596.2344
545.29584,478.3663,-4383.23
214.445,580.2353,-3408.556
169.62654,609.5537,-3026.7053
233.12726,607.3557,-3058.945
454.3763,549.742,-3736.7405
232.54523,581.89667,-3389.1028
68.32269,547.17975,-3762.3513
528.8057,521.78644,-4004.4343
527.1753,619.22253,-2873.7324
294.59256,616.76276,-2914.6555
286.1597,460.04453,-4533.8706
187.75935,546.70746,-3767.0186
389.32083,594.4785,-3234.508
197.09099,504.61734,-4158.558
592.9776,567.54736,-3551.0544
619.1307,552.1281,-3712.6765
444.225,597.0613,-3200.8738
186.28844,510.99695,-4102.047
551.4099,596.4214,-3209.2688
443.32724,637.88086,-2485.5408
175.81145,487.22778,-4308.6694
388.25693,608.1899,-3046.7617
248.63916,552.74786,-3706.3464
169.28804,443.85254,-4663.617
494.45718,515.0378,-4065.8015
225.5387,447.72195,-4632.8765
391.31754,632.8571,-2610.1228
374.5779,618.51117,-2885.8137
343.26456,587.00116,-3327.9773
581.14453,609.8044,-3022.9854
529.77716,527.9559,-3947.3574
533.3069,438.1067,-4708.9917
525.6071,646.704,-1914.4579
475.39352,555.107,-3682.2598
174.30125,473.76038,-4421.528
524.7766,645.7193,-2185.39
446.37173,645.08185,-2223.6306
658.01373,535.74384,-3873.795
288.96786,501.87363,-4182.6304
450.03964,428.9851,-4780.379
489.3776,632.8669,-2610.1057
124.976234,490.8202,-4278.0845
614.76904,580.19073,-3409.0527
597.67633,615.0879,-2941.6084
230.9467,514.92377,-4066.8406
145.00612,500.91934,-4190.942
190.03346,483.59415,-4339.381
55.904537,459.78964,-4535.941
445.72983,646.5327,-2120.2664
326.05203,580.2453,-3408.3875
179.76929,535.75006,-3873.7334
206.88307,606.1303,-3076.6318
391.27377,567.6907,-3549.511
600.2767,604.1643,-3104.551
355.86368,575.5865,-3461.8887
601.8127,533.4522,-3895.5967
533.4021,589.86426,-3292.7942
623.56396,457.32593,-4555.8677
520.86786,637.46674,-2496.7322
42.738636,510.76758,-4104.1177
488.13937,645.63525,-2190.8772
321.9014,630.18134,-2668.6719
539.6841,554.69073,-3686.5117
302.0837,561.83765,-3612.1963
300.2751,550.7654,-3726.4111
519.5633,541.0449,-3822.6458
78.641624,512.783,-4086.094
451.5646,465.43765,-4489.9883
92.304054,509.8212,-4112.5376
621.4167,464.12125,-4500.7397
120.06898,598.43115,-3182.889
622.2899,575.49945,-3462.9177
604.99713,621.57764,-2833.199
582.5805,627.37885,-2725.4922
248.98663,541.72064,-3816.1042
479.31754,511.6382,-4096.315
454.42398,640.179,-2418.2297
285.41513,607.7149,-3053.7559
154.64612,468.05997,-4468.512
432.57712,618.2389,-2890.257
576.14355,577.5551,-3439.4797
616.6718,543.53125,-3798.404
398.98685,437.0206,-4717.5425
583.0053,620.4694,-2852.3516
114.90314,470.658,-4447.1353
250.13245,561.92596,-3611.3088
368.2064,610.1916,-3017.1536
468.78784,617.82904,-2897.0847
277.00638,570.52844,-3518.4543
490.5409,611.8547,-2991.9922
589.9934,435.78198,-4727.2715
176.25862,595.43854,-3222.0676
611.89716,432.88684,-4749.9478
51.200886,471.81064,-4437.6626
584.75977,518.9236,-4030.6023
66.12609,431.87534,-4757.8374
596.77515,506.84702,-4138.918
331.04745,614.0563,-2957.9368
152.566,519.3618,-4026.6287
454.25577,628.9104,-2694.878
218.74782,482.94742,-4344.8257
110.009186,576.29407,-3453.8967
308.78043,612.9853,-2974.6458
126.130394,503.93643,-4164.5566
82.32151,542.5402,-3808.1062
387.8126,504.8292,-4156.7207
334.72928,626.6826,-2739.2122
189.23589,476.42,-4399.4243
472.72678,625.74414,-2757.1328
369.1339,626.6121,-2740.5813
501.2975,629.5283,-2682.1768
54.996258,513.1404,-4082.888
75.24969,557.47516,-3657.8196
594.93176,539.219,-3840.39
586.40326,564.64136,-3582.3567
16.423765,570.1221,-3522.9324
85.24581,552.144,-3712.4915
296.3387,643.89966,-2281.7322
178.66887,469.88675,-4453.4937
429.3059,479.0215,-4377.7544
499.2406,468.46463,-4465.1953
405.08237,454.61508,-4577.719
551.4237,641.62445,-2370.6145
390.2422,641.6685,-2368.9373
515.29315,471.79648,-4437.7627
341.4314,591.5507,-3271.7136
319.7086,490.12,-4284.0815
481.57922,635.76807,-2540.9114
127.14971,462.04306,-4517.633
549.58813,441.92114,-4678.9155
140.59035,549.4544,-3739.5984
551.48773,587.19073,-3325.6814
153.09065,587.8452,-3317.7224
142.33412,450.6619,-4609.403
59.23828,544.5654,-3788.2117
382.38187,619.93317,-2861.795
140.00012,569.0439,-3534.703
369.22696,562.99023,-3599.9788
229.88123,432.68164,-4751.567
374.75034,430.75415,-4766.594
175.44258,607.3462,-3059.1008
551.9475,545.7192,-3776.8157
204.13629,599.20166,-3172.5342
277.55118,594.99164,-3227.873
129.40947,560.36615,-3627.6777
319.07425,461.2538,-4524.066
486.44614,644.23895,-2266.3254
526.59033,611.72614,-2993.9521
533.60236,594.42914,-3235.1191
536.3057,598.99054,-3175.2625
431.94492,614.0132,-2958.4944
347.4813,522.98315,-3993.4414
287.65805,536.01666,-3871.1848
457.82248,644.1806,-2269.043
192.4334,431.15198,-4763.513
476.39688,562.367,-3606.6038
663.6282,442.65244,-4673.136
557.3099,600.4509,-3155.7344
533.852,444.70776,-4656.857
355.88364,452.84302,-4591.9507
582.02594,476.3358,-4400.1577
107.93762,464.32602,-4499.063
430.85092,645.84076,-2177.0686
54.712185,452.86523,-4591.736
353.80716,646.0477,-2162.2424
242.8654,429.44992,-4776.759
235.39429,549.866,-3735.4668
226.13164,426.87634,-4796.785
289.9194,556.07623,-3672.295
399.7684,638.39716,-2471.154
351.97095,638.2149,-2476.1829
373.44247,647.0733,-1983.2279
439.39697,639.3816,-2442.5925
238.79718,508.80978,-4121.528
44.90019,591.85614,-3268.0242
521.29785,647.04565,-1971.1991
52.95579,466.15848,-4484.101
292.36877,496.43375,-4229.892
532.88165,485.38583,-4324.2676
548.4533,624.48517,-2780.6807
530.79004,515.2531,-4063.86
508.08432,428.95572,-4780.588
392.18958,583.59076,-3369.0234
364.0071,516.9075,-4048.917
252.20404,449.90042,-4615.4937
197.40611,449.8861,-4615.609
122.275826,457.6615,-4553.147
371.4503,646.71844,-1917.059
309.81287,604.73865,-3096.4646
363.55746,601.7598,-3137.8623
488.35205,646.8198,-2085.7346
276.79016,533.23047,-3897.7617
360.2181,643.37103,-2304.1367
398.42053,590.46216,-3285.4053
390.17688,571.8795,-3503.5312
473.18216,646.28754,-2142.968
611.5712,453.77213,-4584.4766
126.597565,595.6228,-3219.753
116.288704,594.0002,-3240.7288
309.60892,428.61166,-4783.289
330.13855,430.5039,-4768.5483
373.59152,534.4188,-3886.3992
336.27847,595.76544,-3217.8682
150.68144,596.5139,-3208.0742
287.52502,512.4869,-4088.7327
375.16296,469.36386,-4457.7993
201.16772,463.08484,-4509.1587
442.10477,575.8784,-3458.6367
391.08118,578.5298,-3428.285
566.95514,449.55576,-4618.24
469.2783,613.9808,-2959.002
592.4156,647.02155,-2048.3816
544.8656,472.24857,-4434.028
587.3948,479.86948,-4370.6685
449.54578,530.0356,-3927.8691
597.6209,618.48535,-2886.1953
487.20044,615.8789,-2928.8782
115.73211,571.40955,-3508.6833
528.1687,646.9992,-2053.0862
497.71207,497.64987,-4219.3413
474.8617,621.1342,-2840.9744
340.80975,642.9328,-2322.218
346.12473,644.14496,-2270.573
579.7296,616.96014,-2911.3523
476.40225,647.0784,-2029.9277
300.5488,647.05597,-1975.4648
167.86482,432.48398,-4753.105
594.54193,446.27634,-4644.3853
438.95096,644.5983,-2249.216
440.94064,500.44376,-4195.07
43.431187,590.09467,-3290.0745
251.15166,454.145,-4581.479
174.0424,461.08725,-4525.397
571.68195,427.95462,-4788.3916
533.0059,629.16516,-2689.673
170.59389,577.02936,-3445.5605
127.91787,574.38947,-3475.411
165.10297,513.66473,-4078.1746
175.0895,517.06036,-4047.5295
424.8397,594.7929,-3230.4636
83.59186,592.69507,-3257.3972
317.26318,619.26605,-2873.0789
315.19693,506.40894,-4142.7905
330.31082,577.1771,-3443.7754
267.9316,474.7811,-4413.0454
389.45142,549.02515,-3743.9084
228.84395,534.2369,-3888.1697
158.09543,546.6574,-3767.515
605.5623,633.73883,-2589.9417
431.69565,559.7388,-3634.2961
366.40378,634.926,-2561.6086
547.7242,638.2764,-2474.2336
444.37582,647.06476,-2035.584
349.00925,647.01227,-2053.3767
198.03954,454.16748,-4581.2964
474.40488,575.61395,-3461.6348
582.12305,645.2701,-2212.5203
597.5866,637.2099,-2503.5134
68.67727,592.5366,-3259.403
63.0873,591.3497,-3274.3875
275.25204,481.17844,-4359.6997
103.444084,445.09216,-4653.7876
82.00214,452.53232,-4594.4116
40.820374,593.3322,-3249.3154
182.61314,530.0009,-3928.1912
89.8819,503.9419,-4164.5083
54.546345,521.5871,-4006.2805
364.42676,492.3588,-4264.92
195.07161,490.32773,-4282.2935
547.517,518.65216,-4033.073
424.39926,431.0786,-4764.0645
260.44324,484.65128,-4330.4824
323.2753,479.25928,-4375.7695
462.93558,542.2376,-3811.0413
386.64005,646.5351,-2120.1404
207.3258,517.7525,-4041.2578
497.12427,594.7636,-3230.8164
276.1901,587.76605,-3318.7698
497.9331,590.5275,-3284.5364
443.08325,592.9546,-3254.0217
61.729126,518.5278,-4034.2297
255.03899,610.7482,-3008.839
173.16176,456.56982,-4561.9556
375.15402,554.4195,-3689.2937
203.23308,549.52905,-3738.8508
273.9233,577.9861,-3434.5762
407.5023,617.35345,-2905.0242
113.24664,436.6024,-4720.818
97.95654,587.854,-3317.6702
518.7194,567.4936,-3551.6133
448.6039,524.0829,-3983.3057
384.44214,527.9824,-3947.0889
360.25122,639.9833,-2424.182
444.04578,643.6286,-2293.827
493.5233,521.5341,-4006.748
305.4597,450.6682,-4609.3696
424.68814,435.17334,-4732.0396
84.216156,480.77222,-4363.0986
96.44448,554.8172,-3685.2275
348.0629,616.5642,-2917.9465
275.2727,613.9461,-2959.6565
603.4034,474.37296,-4416.4556
596.9201,470.20413,-4450.859
246.83069,588.3299,-3311.8513
344.71216,582.06165,-3387.0586
545.68164,609.78705,-3023.2432
273.1533,518.55536,-4033.965
273.50388,509.31625,-4117.0317
327.6837,584.95465,-3352.759
264.4707,524.34406,-3980.928
480.01736,597.10455,-3200.306
475.90176,518.1846,-4037.3281
603.78784,515.99585,-4057.1672
588.0102,512.741,-4086.4568
182.99408,501.13992,-4189.017
413.64603,546.66797,-3767.426
408.4882,639.26013,-2446.1797
402.50626,601.2992,-3144.2405
433.90018,605.72723,-3082.373
371.4182,442.20703,-4676.6597
418.959,538.50604,-3847.2676
600.3846,639.22516,-2447.1638
478.50436,536.722,-3864.4248
441.94693,580.26953,-3408.1562
144.29082,591.62335,-3270.8352
230.58833,587.07513,-3327.1643
374.91138,592.0201,-3265.79
61.143982,436.205,-4723.943
304.82492,527.063,-3955.721
339.9862,533.85376,-3891.7805
421.07944,459.8221,-4535.6895
346.35596,458.5381,-4546.0776
349.31186,565.81476,-3569.7551
534.8887,604.03815,-3106.2148
185.10187,563.1696,-3598.0261
200.27385,554.98846,-3683.4739
207.65422,565.5057,-3573.1003
242.50694,564.47437,-3584.158
535.3698,643.6736,-2291.6357
568.6767,461.3816,-4523.0083
269.18457,615.8863,-2928.845
395.2538,531.7089,-3912.1016
442.96713,536.05426,-3870.8225
402.73645,569.67456,-3527.8704
426.43808,565.5949,-3572.2053
132.8687,554.9488,-3683.8796
522.84845,572.8028,-3493.2214
151.38057,463.77087,-4503.563
477.0092,453.7186,-4584.905
393.57315,647.0915,-2023.75
397.55795,646.9145,-2070.9934
494.71768,626.7361,-2737.9932
361.31494,540.4455,-3828.4836
275.80637,580.13043,-3409.8125
479.59952,584.1156,-3362.7734
412.5397,646.41724,-2130.9785
367.6849,632.2718,-2623.3574
330.1141,434.13464,-4740.1934
567.15106,575.0566,-3467.9346
370.3573,596.2131,-3212.0352
238.42006,544.2598,-3791.2131
598.9424,644.7143,-2243.05
535.7348,642.33966,-2344.8928
452.5211,504.31802,-4161.169
461.38315,602.28204,-3130.6008
360.2498,505.291,-4152.6606
156.66112,600.18286,-3159.278
563.5053,484.3727,-4332.825
437.8468,609.9732,-3020.374
416.99545,612.06647,-2988.8008
190.6804,436.17334,-4724.205
551.2156,630.38007,-2664.3525
583.5773,525.0202,-3974.6438
547.0261,525.0109,-3974.7297
592.2465,487.04184,-4310.2515
203.86804,596.8211,-3204.0422
229.50786,591.9894,-3266.1394
548.33093,620.9077,-2844.7893
543.9583,617.25903,-2906.4514
303.61026,542.1961,-3811.452
328.832,539.86896,-3834.0742
570.39746,497.06375,-4224.4478
298.41357,468.0183,-4468.852
258.1664,462.50656,-4513.878
358.5898,599.73254,-3165.4524
75.40211,506.98108,-4137.7285
490.52628,619.467,-2869.5957
506.5554,631.8363,-2633.007
331.32086,528.4405,-3942.841
376.90768,510.7119,-4104.6084
408.75693,636.7724,-2515.1956
181.61906,493.9589,-4251.191
249.34174,574.341,-3476.0193
578.2534,646.8669,-2078.3027
413.07816,643.7308,-2289.3413
488.2015,646.9939,-1956.4857
417.6631,625.1785,-2767.8184
260.6731,606.39667,-3072.7942
83.07134,570.7641,-3515.823
512.63983,501.53555,-4185.549
487.75296,504.8269,-4156.695
574.2487,550.4473,-3729.6208
407.11304,642.4084,-2342.2878
584.23047,536.1314,-3870.082
570.6048,541.0913,-3822.247
231.0262,560.0,-3631.5398
329.45908,624.17706,-2786.4622
74.07853,487.3182,-4307.898
89.14225,497.72372,-4218.7134
194.75133,523.9326,-3984.7
161.21632,522.78424,-3995.2734
229.3017,609.5706,-3026.4668
352.40048,436.19955,-4723.9956
340.70956,446.66772,-4641.271
89.0776,565.6508,-3571.5312
127.54727,566.0029,-3567.737
526.80786,549.7679,-3736.4805
601.1277,549.91693,-3734.9666
584.2608,624.41943,-2781.905
599.01227,625.96027,-2753.054
498.0542,533.93866,-3890.9756
496.85315,527.7337,-3949.43
586.6203,591.4099,-3273.4766
586.12714,596.0549,-3214.0554
225.11974,456.2479,-4564.55
227.3673,460.64786,-4528.971
542.84985,583.0855,-3375.1072
607.1141,584.6241,-3356.7185
381.03006,462.78433,-4511.6377
148.08347,430.22876,-4770.69
407.82108,469.11325,-4459.8594
360.72583,465.80978,-4486.931
93.66925,484.2112,-4334.1953
128.21892,484.31894,-4333.2866
233.39174,469.15158,-4459.5366
202.52864,467.59525,-4472.306
529.93353,608.0068,-3049.5134
197.06691,591.1397,-3276.8113
93.21616,593.9389,-3241.514
88.464714,591.29224,-3275.0637
75.26307,533.9565,-3890.844
474.05884,609.79376,-3023.0583
563.06335,468.96365,-4461.0776
553.8864,457.34375,-4555.6997
548.30035,465.15805,-4492.263
148.22456,583.222,-3373.4226
277.71756,591.0855,-3277.6409
551.8428,640.1101,-2420.3438
509.6257,559.3152,-3638.6455
597.7199,545.1765,-3782.176
581.27875,638.2194,-2475.8428
130.03275,537.74396,-3854.5842
251.01636,500.30167,-4196.3374
247.37598,503.41037,-4169.185
235.62761,497.3527,-4221.891
587.8735,586.85986,-3329.7195
603.41724,593.5883,-3245.8796
175.4839,480.45877,-4365.724
219.89587,511.56387,-4096.9844
486.5045,640.18646,-2417.9978
354.30063,526.7231,-3958.8213
316.1343,522.14484,-4001.1565
508.16782,482.16202,-4351.406
398.7123,551.826,-3715.6973
517.72797,494.73352,-4244.5376
461.24478,497.06693,-4224.3877
440.0339,450.21713,-4612.9707
358.9004,641.6259,-2370.4124
135.40167,585.2835,-3348.7498
529.42975,626.251,-2747.3818
530.6582,622.8918,-2809.697
208.90709,603.8003,-3109.5847
462.51566,563.9813,-3589.4678
541.3123,430.76895,-4766.4653
254.92224,547.1618,-3762.4795
240.88716,536.9953,-3861.8406
422.81067,514.6204,-4069.551
444.41977,511.36557,-4098.7505
397.32327,440.93417,-4686.713
479.48325,431.34964,-4761.9424
281.2101,448.33725,-4627.975
20.38133,448.44284,-4627.1396
329.7141,516.17035,-4055.5925
343.95023,510.2543,-4108.6855
602.5996,522.0672,-4001.8777
359.45663,560.1772,-3629.6301
384.40616,557.34,-3659.2224
584.3232,630.1758,-2668.661
599.8885,628.7359,-2698.429
83.304634,438.62134,-4704.9473
74.69919,443.09363,-4669.617
328.2278,559.71173,-3634.4973
398.45337,428.86548,-4781.307
374.99487,434.81458,-4734.854
263.86917,515.34033,-4063.085
251.2423,521.58844,-4006.2463
98.02456,547.1843,-3762.3054
141.30586,507.06885,-4136.946
174.27849,507.52927,-4132.8726
320.46497,512.92365,-4084.8184
306.05826,518.94855,-4030.387
487.9186,641.6789,-2368.695
503.3008,640.92957,-2394.1165
235.61693,435.7705,-4727.355
322.70276,439.93945,-4694.574
499.63757,545.9829,-3774.2136
146.88898,528.9213,-3938.3135
92.76345,531.08594,-3917.9817
466.61142,461.76596,-4519.894
514.0501,465.11108,-4492.6465
583.2754,642.9672,-2320.7883
599.5463,642.2613,-2347.8247
231.43059,555.20905,-3681.209
185.32121,552.19025,-3711.996
551.83466,435.00098,-4733.395
478.5508,435.6649,-4728.1816
535.6502,631.741,-2635.0977
490.41226,630.8385,-2654.7654
347.37418,545.9063,-3774.968
333.08557,551.1819,-3722.2097
441.32104,633.0325,-2606.2495
415.72485,632.24554,-2623.9211
431.74634,646.9426,-2065.6526
454.9558,646.7879,-2090.0251
456.04883,641.6778,-2368.7346
439.3505,640.921,-2394.3884
604.0551,461.09872,-4525.3047
414.52222,482.3834,-4349.587
504.45132,642.36993,-2343.7698
582.41833,606.01166,-3078.347
125.88837,497.6639,-4219.232
145.62822,480.979,-4361.365
143.85258,487.43234,-4306.935
483.31445,557.8474,-3653.9949
467.86124,468.50937,-4464.8276
421.67664,465.65628,-4488.2017
458.39993,478.59293,-4381.3354
477.01266,482.29895,-4350.2554
431.52866,552.0551,-3713.3777
418.26767,557.4375,-3658.2131
246.37573,491.08847,-4275.816
224.45091,489.41086,-4290.102
580.8466,646.2937,-2141.0994
596.0997,646.65546,-2106.45
146.89772,535.0263,-3880.6455
128.03537,531.57697,-3913.3445
583.01654,644.21564,-2267.3284
244.13506,557.6872,-3655.677
61.08198,593.1761,-3251.2952
466.9597,449.95975,-4615.0293
407.62183,640.8886,-2395.454
580.03235,613.36017,-2968.791
543.8492,613.5268,-2966.1917
70.33435,527.9009,-3947.8594
547.0161,645.31586,-2209.905
550.7629,644.2622,-2265.154
550.8842,494.7947,-4244.012
588.83344,490.51236,-4280.7275
593.2896,582.3867,-3383.3281
604.8856,589.059,-3302.8066
61.10379,594.1099,-3239.3699
149.65192,540.9316,-3823.7659
185.07997,541.21454,-3821.0117
356.63803,548.69476,-3747.2146
370.5642,543.4464,-3799.207
482.385,628.45197,-2704.1594
447.4972,630.3727,-2664.5583
587.02905,632.8037,-2611.2761
601.1982,631.3614,-2643.367
114.93859,579.2252,-3420.2034
575.1954,544.0496,-3793.2683
105.066315,585.4565,-3346.6582
70.77932,581.75604,-3390.7703
572.1057,647.0881,-2020.2477
610.992,481.57993,-4356.3296
617.5362,485.52646,-4323.068
234.43028,600.20953,-3158.9934
532.3763,585.3096,-3348.4797
336.8198,636.4673,-2523.1125
441.83182,554.7461,-3685.9648
482.199,550.2097,-3732.0393
380.7018,647.02576,-2049.6868
404.54483,599.2246,-3172.1853
363.5282,623.9666,-2790.336
81.894035,468.63474,-4463.8105
332.93167,646.87115,-2078.2168
511.42856,444.58203,-4657.855
583.9139,442.506,-4674.2876
200.78941,441.59192,-4681.514
342.59848,639.1228,-2450.1746
419.7726,447.53186,-4634.396
391.78653,640.02515,-2422.883
344.74475,640.80414,-2398.2283
605.79144,439.47266,-4698.24
604.108,429.2914,-4777.9985
380.79346,627.8159,-2716.9773
432.62753,627.8061,-2717.0889
619.16486,499.11182,-4206.6943
584.0643,640.0772,-2421.366
583.6451,641.5897,-2371.8184
535.52246,640.9054,-2394.913
326.18552,486.64926,-4313.5796
73.2705,539.64056,-3836.3005
419.7773,637.7148,-2490.0867
55.399975,585.3511,-3348.0437
138.02661,589.48975,-3297.527
490.81448,573.1237,-3489.634
392.5903,634.32855,-2575.9287
362.9657,636.15356,-2531.1252
492.9325,581.70685,-3391.347
145.62605,454.87186,-4575.6367
169.23639,448.0785,-4630.0337
216.40556,476.09024,-4402.17
381.67017,576.2735,-3454.1309
373.9341,581.28156,-3396.2434
457.7015,643.0546,-2317.411
412.78525,475.90332,-4403.739
360.77954,473.14737,-4426.5796
383.09323,602.46344,-3128.2063
375.77676,606.0584,-3077.6416
589.47943,647.0988,-1994.5892
548.937,646.9885,-1958.1221
64.99731,572.99603,-3491.056
65.4372,577.49615,-3440.1836
347.49857,481.02768,-4360.961
335.75333,604.2353,-3103.5686
381.1346,488.89148,-4294.5312
335.7455,492.7358,-4261.687
497.73203,633.9202,-2585.7095
533.8483,634.1276,-2580.8281
24.408716,592.15546,-3264.2395
441.19095,642.3853,-2343.1514
392.6559,643.1799,-2312.0623
498.5748,644.7864,-2239.2998
531.5818,644.8066,-2238.2603
402.50516,495.7944,-4235.3984
411.4824,499.65186,-4201.9565
608.66656,510.00626,-4110.8906
534.6086,639.315,-2444.5325
501.49194,639.3671,-2442.9832
571.84686,569.96466,-3524.6033
200.84834,560.21234,-3629.3142
182.80046,557.67883,-3655.717
83.973175,595.1397,-3226.0715
155.55215,574.87714,-3469.923
508.3016,646.6324,-2110.073
497.16904,646.98816,-2055.706
251.86157,494.06934,-4250.273
521.3546,421.99478,-4834.5776
434.71365,526.7133,-3958.943
7.0580726,590.7315,-3282.1335
612.1176,572.9587,-3491.468
285.3481,434.87692,-4734.351
285.0359,430.68637,-4767.131
448.4801,458.92526,-4542.9487
350.0424,606.0156,-3078.254
333.80005,599.28046,-3171.5383
603.9843,577.8012,-3436.6614
92.70927,560.309,-3628.2773
630.1553,450.80005,-4608.3193
623.44293,447.2556,-4636.5923
459.2688,604.9791,-3092.9531
287.69214,506.73917,-4139.8794
132.63995,477.6333,-4389.332
300.2904,573.7909,-3482.2078
320.15677,571.5019,-3507.6667
404.0226,543.8776,-3794.971
428.80966,541.517,-3818.076
478.8196,524.53644,-3979.1162
481.46957,530.6025,-3922.5452
589.28485,555.5236,-3677.9817
567.74414,553.60565,-3697.6003
589.0141,599.61957,-3166.9902
618.4743,540.53204,-3827.6387
264.12366,566.24225,-3565.1829
335.24536,449.88562,-4615.6313
605.37787,634.9984,-2559.8752
583.21533,530.4743,-3923.7861
547.3408,530.5979,-3922.6223
489.09204,643.03815,-2318.069
504.06006,643.6705,-2291.7676
227.7834,570.31134,-3520.8298
397.19348,563.2764,-3596.931
290.9744,593.10706,-3252.0586
321.76205,593.56146,-3246.265
198.33235,538.75073,-3844.918
196.63109,533.3804,-3896.3098
454.74173,455.78845,-4568.2847
432.72787,453.60583,-4585.8335
619.6292,468.02774,-4468.7617
318.02792,647.09033,-2020.528
321.29883,647.0855,-1988.7607
