x_comp,y_comp,z_comp
0.000217,-0.99409,0.108559
-3.6e-05,-0.995762,0.091963
-0.000839,-0.999979,0.006385
-7.2e-05,-0.996981,0.077651
-0.000294,-0.99526,0.097249
0.000151,-0.995882,0.090656
-0.000327,-0.998358,0.05729
-0.00026,-0.997203,0.074737
0.000136,-0.992193,0.12471
-0.00034,-0.996856,0.079233
0.000267,-0.995326,0.096567
-0.000209,-0.992815,0.119657
-0.000321,-0.995171,0.098155
0.000342,-0.999999,0.001182
5.5e-05,-0.992369,0.123303
-0.000346,1.0,0.000315
-5.2e-05,-0.99403,0.109108
8.8e-05,-0.9942,0.10755
-6.5e-05,-0.999869,0.016159
0.000371,-0.99984,0.017857
5.3e-05,-0.999941,0.010858
-0.000418,-0.999532,0.030591
0.000316,-0.997128,0.075732
-0.000258,-0.99389,0.110375
0.000191,-0.993079,0.117446
-0.000266,-0.995642,0.093258
0.00025,-0.993163,0.116734
-0.000305,-0.993681,0.11224
0.000273,-0.993266,0.115856
-0.000298,-0.995386,0.095953
0.000221,-0.998918,0.046502
-0.00025,-0.996581,0.082618
-0.000134,-0.993655,0.11247
0.000431,-0.997676,0.068134
1.6e-05,-0.991881,0.127173
-6.3e-05,-0.99264,0.121101
-0.000505,-0.999722,0.023571
-0.000223,-0.992421,0.122887
-0.00081,-0.999999,0.001109
0.000185,-0.994196,0.107585
0.000144,-0.996475,0.08389
0.000222,-0.993595,0.112999
9e-05,-0.99604,0.088907
-0.000563,-0.999683,0.02516
-0.000358,-0.999923,0.012441
7e-05,-0.992365,0.123336
-0.000206,-0.993304,0.115528
-0.000175,-0.994317,0.10646
-0.000194,-0.995711,0.092522
0.000184,-0.992753,0.120175
-0.000164,-0.997138,0.075601
0.000118,-0.994185,0.10769
-8.1e-05,-0.999313,0.037049
-9.5e-05,-0.997417,0.071826
0.000192,-0.994966,0.100217
-0.000125,-0.996816,0.079743
0.00021,-0.994594,0.103841
3.3e-05,-0.995064,0.099231
-0.00022,-0.993995,0.109422
-5.8e-05,-0.99688,0.078932
0.000147,-0.995316,0.096676
-0.00026,-0.994108,0.108396
0.000577,-0.999931,0.011748
0.000107,-0.999233,0.039166
-0.000256,-0.99521,0.097762
-0.000101,-0.992786,0.119903
-0.00038,-0.998587,0.053142
0.000275,-0.993671,0.112329
0.000252,-0.996471,0.083941
-0.000262,-0.99366,0.112426
0.000122,-0.992542,0.121906
3.2e-05,-0.992367,0.123323
-0.000347,-0.997882,0.065045
-0.000135,-0.994934,0.100531
8.6e-05,-0.992005,0.126198
0.000237,-0.996305,0.085884
-1.7e-05,-0.991883,0.127151
0.000182,-0.993358,0.115064
0.000438,-0.998069,0.062119
0.00047,-0.998797,0.049035
-0.000321,-0.997008,0.077301
-9.5e-05,-0.999858,0.016839
-0.000262,-0.992805,0.119743
-0.000354,-0.996679,0.08143
-0.00015,-0.992608,0.121366
-0.000117,-0.993067,0.117546
-0.00016,-0.994098,0.108488
0.000282,-0.995591,0.093798
0.000266,-0.996306,0.08587
-0.000197,-0.992746,0.120227
-0.000312,-0.993276,0.115768
-3.2e-05,-0.99448,0.104926
-0.000228,-0.996742,0.080657
-0.000267,-0.993084,0.117405
-0.000365,-0.997569,0.069681
9.3e-05,-0.992323,0.123676
-0.000456,-0.997222,0.074481
5.1e-05,-0.992117,0.125313
-0.000208,-0.993714,0.111945
-0.000311,-0.997669,0.068241
-0.000102,-0.99426,0.10699
0.000237,-0.99559,0.093809
0.000181,-0.996671,0.081533
0.00021,-0.992507,0.122184
-0.00019,-0.994304,0.106583
0.000159,-0.995212,0.097739
0.000387,-0.99727,0.073838
0.000226,-0.996683,0.081379
-0.000319,-0.996179,0.08733
0.00032,-0.996396,0.084823
-0.000263,-0.994637,0.103425
-0.000265,-0.99652,0.083353
-0.000552,-0.999035,0.043913
0.000235,-0.996749,0.08057
0.000279,-0.995197,0.09789
0.000201,-0.996558,0.0829
-0.000117,-0.992107,0.12539
-0.000311,-0.993396,0.114738
-2e-05,-0.993088,0.117374
0.00024,-0.999395,0.034782
0.000205,-0.99374,0.11172
0.000107,-0.997942,0.064119
0.000313,-0.996636,0.081953
0.000281,-0.994982,0.100048
-0.000287,-0.999856,0.016971
